sno,technology,slug,category,category_slug,companies,jobs,url
1,000Webhost,000webhost,Computer Networks,computer-networks,0,0,https://theirstack.com/en/technology/000webhost
2,1 1,1-1,Computer Networks,computer-networks,194,3.7k,https://theirstack.com/en/technology/1-1
3,1 2 1 Marketing,1-2-1-marketing,Marketing,marketing,28,86,https://theirstack.com/en/technology/1-2-1-marketing
4,1000Minds Decisionmaking Software,1000minds-decisionmaking-software,Collaboration,collaboration,0,0,https://theirstack.com/en/technology/1000minds-decisionmaking-software
5,100Hires,100hires,HR,hr,19,187,https://theirstack.com/en/technology/100hires
6,101 Blockchains,101-blockchains,Business Intelligence And Analytics,business-intelligence-and-analytics,0,0,https://theirstack.com/en/technology/101-blockchains
7,1010Data,1010data,Business Intelligence And Analytics,business-intelligence-and-analytics,53,132,https://theirstack.com/en/technology/1010data
8,101Domain,101domain,Computer Networks,computer-networks,1,3,https://theirstack.com/en/technology/101domain
9,1098T Software,1098t-software,Finance And Accounting,finance-and-accounting,0,0,https://theirstack.com/en/technology/1098t-software
10,1099 Pro,1099-pro,Finance And Accounting,finance-and-accounting,33,64,https://theirstack.com/en/technology/1099-pro
11,10Duke,10duke,IT Security,it-security,5,9,https://theirstack.com/en/technology/10duke
12,10Gbps Io,10gbps-io,Devops And Development,devops-and-development,0,0,https://theirstack.com/en/technology/10gbps-io
13,10Web,10web,Devops And Development,devops-and-development,38,45,https://theirstack.com/en/technology/10web
14,11 Email,11-email,Platform And Storage,platform-and-storage,119,396,https://theirstack.com/en/technology/11-email
15,11Ty,11ty,Programming Languages And Frameworks,programming-languages-and-frameworks,47,78,https://theirstack.com/en/technology/11ty
16,11X,11x,Sales,sales,24,34,https://theirstack.com/en/technology/11x
17,12 Digit Marketing,12-digit-marketing,Marketing,marketing,0,0,https://theirstack.com/en/technology/12-digit-marketing
18,123 Live Help,123-live-help,Customer Management,customer-management,0,0,https://theirstack.com/en/technology/123-live-help
19,123 Reg Domain Names,123-reg-domain-names,Computer Networks,computer-networks,0,0,https://theirstack.com/en/technology/123-reg-domain-names
20,123Contactform,123contactform,Sales,sales,0,0,https://theirstack.com/en/technology/123contactform
21,123Notary,123notary,Productivity And Operations,productivity-and-operations,0,0,https://theirstack.com/en/technology/123notary
22,123Reg Email Hosting,123reg-email-hosting,Platform And Storage,platform-and-storage,0,0,https://theirstack.com/en/technology/123reg-email-hosting
23,123Signup,123signup,Customer Management,customer-management,0,0,https://theirstack.com/en/technology/123signup
24,123Together Hosted Exchange Server,123together-hosted-exchange-server,Platform And Storage,platform-and-storage,0,0,https://theirstack.com/en/technology/123together-hosted-exchange-server
25,12Pay Payroll,12pay-payroll,Finance And Accounting,finance-and-accounting,1,1,https://theirstack.com/en/technology/12pay-payroll
26,12Return,12return,E-commerce,e-commerce,0,0,https://theirstack.com/en/technology/12return
27,140Proof,140proof,Marketing,marketing,0,0,https://theirstack.com/en/technology/140proof
28,15Five,15five,HR,hr,317,682,https://theirstack.com/en/technology/15five
29,17Hats,17hats,Finance And Accounting,finance-and-accounting,62,106,https://theirstack.com/en/technology/17hats
30,1Backend,1backend,Programming Languages And Frameworks,programming-languages-and-frameworks,0,0,https://theirstack.com/en/technology/1backend
31,1C Enterprise Platform,1c-enterprise-platform,HR,hr,4,7,https://theirstack.com/en/technology/1c-enterprise-platform
32,1Click,1click,Customer Management,customer-management,21,343,https://theirstack.com/en/technology/1click
33,1Crm,1crm,Sales,sales,35,128,https://theirstack.com/en/technology/1crm
34,1E Tachyon,1e-tachyon,HR,hr,55,148,https://theirstack.com/en/technology/1e-tachyon
35,1Kosmos,1kosmos,IT Security,it-security,15,35,https://theirstack.com/en/technology/1kosmos
36,1Link,1link,Customer Management,customer-management,164,454,https://theirstack.com/en/technology/1link
37,1Mb,1mb,Programming Languages And Frameworks,programming-languages-and-frameworks,187,2.3k,https://theirstack.com/en/technology/1mb
38,1Ntelligence,1ntelligence,HR,hr,0,0,https://theirstack.com/en/technology/1ntelligence
39,1Office,1office,IT Management,it-management,92,165,https://theirstack.com/en/technology/1office
40,1Page Source,1page-source,HR,hr,0,0,https://theirstack.com/en/technology/1page-source
41,1Password,1password,IT Security,it-security,1.2k,3.3k,https://theirstack.com/en/technology/1password
42,1Password Secrets Automation,1password-secrets-automation,IT Security,it-security,0,0,https://theirstack.com/en/technology/1password-secrets-automation
43,1Plusx,1plusx,Marketing,marketing,3,3,https://theirstack.com/en/technology/1plusx
44,1Pointmail,1pointmail,Marketing,marketing,0,0,https://theirstack.com/en/technology/1pointmail
45,1Shoppingcart,1shoppingcart,E-commerce,e-commerce,2,2,https://theirstack.com/en/technology/1shoppingcart
46,1Sstory,1sstory,Marketing,marketing,0,0,https://theirstack.com/en/technology/1sstory
47,1World Online,1world-online,Customer Management,customer-management,0,0,https://theirstack.com/en/technology/1world-online
